clause_id,text,rule_based_score,ml_confidence,combined_score,risk_level,issues_count
6.4,"That during and after the employment period, the e mployee will not divulge or appropriate to",66.67,0.9414171998010552,77.66,high,1
4.4,The Employee shall devote his/her best efforts an d all of his/her business time to the,66.67,0.9366891463908986,77.47,high,2
4.1,The Employee shall devote his / her efforts and hi s / her full business time and attention to the,66.67,0.8045509583205326,72.18,high,1
8.9,"Notwithstanding the above, Employment Agreement c an be terminated on the following grounds:",83.33,0.9166187570122085,53.33,medium,2
3.2,The Employee may be required to work at premises oth er than the Company s premises from,66.67,0.6888887542630256,52.45,medium,2
4.2,The Employee shall maintain proper dignity of the company s office and deal the matter with,66.67,0.872313042855654,45.11,medium,1
8.6,That if the employee commits any offence punish able under the Indian Law even outside the,66.67,0.8897887264817192,44.41,medium,1
8.1,This Employment Agreement shall continue until te rminated by either Party as provided herein,66.67,0.8985146131367716,44.06,medium,1
10.1,This Employment Agreement contains a complete st atement of all the arrangements between,66.67,0.9482716989047483,42.07,medium,1
10.2,That this employment agreement may be amended o r cancelled by mutual agreement of the,66.67,0.9698520451163943,41.21,medium,1
11.1,This Employment Agreement shall be governed by an d construed in accordance with the laws,66.67,0.9771492487941935,40.92,medium,1
5.2,"The Employee shall not entitle to get salary, if he/she fails to meet the objectives or targets laid",66.67,0.9919626099843201,40.32,medium,1
8.2,The Employee may lawfully terminate this Employmen t Agreement by giving to the Employer not,66.67,0.9963180321035249,40.15,medium,2
6.1,"The Employee shall not, directly or indirectly, ei ther during the term of the Employee s",66.67,0.9984854676685915,40.06,medium,1
3.1,"The Employee will be stationed in the Employer s offices currently located in _________, but the",66.67,0.9996697931843985,40.02,medium,1
7.2,That the client or the customer shall be sole cl ient of the company. During the employment,0.0,0.9248958828234153,37.0,low,0
8.8,"If any training is provided to the employee, the company has full rights to recover the expenses",33.33,0.5819294203519203,36.72,low,1
8.7,"That during the course of employment, if the empl oyee commits any fraud with the company and",0.0,0.8548060756583542,34.19,low,0
6.7,"When the Employee s employment with the Company is terminated, he/she shall return to the",33.33,0.6965003426535825,32.14,low,1
5.1,"The Employee, who is entitled to a salary, will be CTC (as given in salary structure) in",50.0,0.99947607990353,30.02,low,2
4.8,It is hereby agreed by and between the Company an d the Employee hereto that in case any,0.0,0.7129394443007468,28.52,low,0
6.2,"As long as the Employee is employed, and also th ereafter, he/she shall maintain confidential the",33.33,0.8404849192420949,26.38,low,1
7.1,"That the employee after the period of employment is over, shall not open similar nature company",0.0,0.5896895074960996,23.59,low,0
4.7,That the employee services will be governed by th e rules and regulations of the company as in,0.0,0.5153014370595058,19.39,low,0
6.3,"During the course of employment, any such creation , innovation or any such intellectual property",0.0,0.5980426103810816,16.08,low,0
6.5,That the Employee will maintain proper dignity as well as decorum of company s office. The,0.0,0.6003030485857488,15.99,low,0
8.4,"No severance pay, as mentioned above, will be ma de to the Employee in case the Company has",0.0,0.6165184281610628,15.34,low,0
4.5,"That during the Employment period, the employee wi thout consent of the company in writing",0.0,0.7211764234207436,11.15,low,0
8.3,In case if the employee leaves the company or t erminates his/her employment before,0.0,0.7683617371199135,9.27,low,0
6.6,The agreement shall revive and apply again from t ime to time post completion of Two-Year,0.0,0.7990490272426848,8.04,low,0
11.2,"In cases if any dispute arises that is of admin istrative trivial nature, then the same shall be",0.0,0.9020737991508383,3.92,low,0
4.6,As ______________ of the Company the Employee shall be responsible for t he day- to-day,0.0,0.9546976608570746,1.81,low,0
4.3,In performing his /her duties as_____________ of the Company the Employee shall adhere to,0.0,0.9591346109080231,1.63,low,0
7.3,"During the course of employment, employee shall n ot do any personal work or for any third party",0.0,0.995104501700948,0.2,low,0
8.5,"All memoranda, notes, records, or other documents m ade or composed by the Employee, or",0.0,0.9972583305245601,0.11,low,0
